,Date,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
SBIN,19-OCT-2021,488.20,497.95,-0.0198,0.0231,0.0231,0.4413
HDFCBANK,19-OCT-2021,1688.70,1670.30,0.0110,0.0172,0.0171,0.3267
INDUSINDBK,19-OCT-2021,1194.00,1219.70,-0.0213,0.0328,0.0327,0.6247
ICICIBANK,19-OCT-2021,747.45,745.45,0.0027,0.0229,0.0228,0.4356
AXISBANK,19-OCT-2021,801.65,813.30,-0.0144,0.0251,0.0251,0.4795
HDFC,19-OCT-2021,2822.90,2811.50,0.0040,0.0202,0.0201,0.3840
KOTAKBANK,19-OCT-2021,2035.35,2011.60,0.0117,0.0200,0.0200,0.3821
BHARTIARTL,19-OCT-2021,681.10,680.60,0.0007,0.0207,0.0206,0.3936
M&M,19-OCT-2021,917.50,910.95,0.0072,0.0220,0.0219,0.4184
UPL,19-OCT-2021,733.75,751.10,-0.0234,0.0246,0.0246,0.4700
TATAMOTORS,19-OCT-2021,481.90,509.60,-0.0559,0.0333,0.0335,0.6400
BPCL,19-OCT-2021,453.05,462.50,-0.0206,0.0211,0.0211,0.4031
BAJAJ-AUTO,19-OCT-2021,3911.55,3915.95,-0.0011,0.0171,0.0171,0.3267
ASIANPAINT,19-OCT-2021,3183.75,3241.55,-0.0180,0.0179,0.0179,0.3420
INFY,19-OCT-2021,1822.15,1792.15,0.0166,0.0169,0.0169,0.3229
MARUTI,19-OCT-2021,7655.60,7656.95,-0.0002,0.0194,0.0194,0.3706
HINDALCO,19-OCT-2021,533.70,542.80,-0.0169,0.0283,0.0283,0.5407
ULTRACEMCO,19-OCT-2021,7170.25,7399.25,-0.0314,0.0182,0.0183,0.3496
ITC,19-OCT-2021,245.95,262.55,-0.0653,0.0168,0.0174,0.3324
DIVISLAB,19-OCT-2021,5192.15,5342.95,-0.0286,0.0180,0.0181,0.3458
NESTLEIND,19-OCT-2021,19368.65,19438.20,-0.0036,0.0151,0.0150,0.2866
HEROMOTOCO,19-OCT-2021,2875.85,2904.15,-0.0098,0.0185,0.0185,0.3534
ONGC,19-OCT-2021,158.60,162.10,-0.0218,0.0250,0.0250,0.4776
HCLTECH,19-OCT-2021,1232.10,1221.40,0.0087,0.0188,0.0188,0.3592
TECHM,19-OCT-2021,1539.10,1479.60,0.0394,0.0201,0.0202,0.3859
BAJFINANCE,19-OCT-2021,7738.90,7865.55,-0.0162,0.0261,0.0260,0.4967
NTPC,19-OCT-2021,149.65,149.55,0.0007,0.0186,0.0185,0.3534
WIPRO,19-OCT-2021,711.55,709.75,0.0025,0.0197,0.0196,0.3745
HINDUNILVR,19-OCT-2021,2546.80,2654.00,-0.0412,0.0148,0.0151,0.2885
TATACONSUM,19-OCT-2021,843.25,843.95,-0.0008,0.0198,0.0198,0.3783
RELIANCE,19-OCT-2021,2731.85,2707.60,0.0089,0.0192,0.0191,0.3649
TCS,19-OCT-2021,3634.15,3647.15,-0.0036,0.0157,0.0156,0.2980
LT,19-OCT-2021,1846.05,1788.45,0.0317,0.0179,0.0180,0.3439
TATASTEEL,19-OCT-2021,1366.95,1411.05,-0.0318,0.0271,0.0271,0.5177
BRITANNIA,19-OCT-2021,3795.90,3837.35,-0.0109,0.0159,0.0158,0.3019
HDFCLIFE,19-OCT-2021,702.80,703.55,-0.0011,0.0192,0.0191,0.3649
SUNPHARMA,19-OCT-2021,827.35,835.90,-0.0103,0.0189,0.0188,0.3592
TITAN,19-OCT-2021,2484.95,2588.80,-0.0409,0.0202,0.0204,0.3897
ADANIPORTS,19-OCT-2021,792.20,810.55,-0.0229,0.0252,0.0252,0.4814
SHREECEM,19-OCT-2021,27697.05,28191.65,-0.0177,0.0194,0.0193,0.3687
JSWSTEEL,19-OCT-2021,691.55,715.80,-0.0345,0.0254,0.0254,0.4853
COALINDIA,19-OCT-2021,184.50,185.30,-0.0043,0.0209,0.0208,0.3974
BAJAJFINSV,19-OCT-2021,19075.40,18678.05,0.0211,0.0254,0.0254,0.4853
CIPLA,19-OCT-2021,906.20,903.75,0.0027,0.0177,0.0177,0.3382
SBILIFE,19-OCT-2021,1193.45,1192.50,0.0008,0.0187,0.0186,0.3554
DRREDDY,19-OCT-2021,4801.70,4877.35,-0.0156,0.0174,0.0174,0.3324
EICHERMOT,19-OCT-2021,2703.70,2826.25,-0.0443,0.0204,0.0206,0.3936
IOC,19-OCT-2021,133.80,136.35,-0.0189,0.0183,0.0183,0.3496
POWERGRID,19-OCT-2021,198.65,203.80,-0.0256,0.0185,0.0185,0.3534
GRASIM,19-OCT-2021,1717.90,1754.05,-0.0208,0.0200,0.0200,0.3821
ADANITRANS,19-OCT-2021,1744.75,1747.90,-0.0018,0.0345,0.0344,0.6572
HINDPETRO,19-OCT-2021,323.35,331.70,-0.0255,0.0227,0.0227,0.4337
ADANIGREEN,19-OCT-2021,1181.20,1203.65,-0.0188,0.0294,0.0294,0.5617
SBICARD,19-OCT-2021,1113.75,1140.80,-0.0240,0.0205,0.0205,0.3917
PEL,19-OCT-2021,2746.75,2816.80,-0.0252,0.0298,0.0297,0.5674
MOTHERSUMI,19-OCT-2021,233.40,239.75,-0.0268,0.0300,0.0300,0.5731
PIDILITIND,19-OCT-2021,2470.70,2501.80,-0.0125,0.0159,0.0159,0.3038
PNB,19-OCT-2021,44.15,46.00,-0.0410,0.0270,0.0271,0.5177
BANDHANBNK,19-OCT-2021,315.80,331.95,-0.0499,0.0314,0.0315,0.6018
JUBLFOOD,19-OCT-2021,4331.40,4369.20,-0.0087,0.0230,0.0229,0.4375
INDIGO,19-OCT-2021,2016.65,2052.85,-0.0178,0.0237,0.0237,0.4528
LUPIN,19-OCT-2021,938.45,936.45,0.0021,0.0204,0.0204,0.3897
ADANIENT,19-OCT-2021,1569.45,1615.25,-0.0288,0.0310,0.0309,0.5903
APOLLOHOSP,19-OCT-2021,4301.10,4330.40,-0.0068,0.0248,0.0248,0.4738
YESBANK,19-OCT-2021,13.60,13.95,-0.0254,0.0463,0.0462,0.8826
ICICIPRULI,19-OCT-2021,659.75,673.50,-0.0206,0.0239,0.0239,0.4566
COLPAL,19-OCT-2021,1636.15,1667.90,-0.0192,0.0146,0.0146,0.2789
MRF,19-OCT-2021,83014.65,84311.55,-0.0155,0.0175,0.0175,0.3343
ACC,19-OCT-2021,2242.80,2304.40,-0.0271,0.0175,0.0176,0.3362
INDUSTOWER,19-OCT-2021,294.95,301.15,-0.0208,0.0304,0.0304,0.5808
AMBUJACEM,19-OCT-2021,389.35,410.60,-0.0531,0.0193,0.0196,0.3745
BERGEPAINT,19-OCT-2021,823.75,837.85,-0.0170,0.0165,0.0165,0.3152
ALKEM,19-OCT-2021,3842.35,3861.35,-0.0049,0.0162,0.0162,0.3095
DLF,19-OCT-2021,414.45,441.75,-0.0638,0.0294,0.0297,0.5674
GODREJCP,19-OCT-2021,1007.85,1017.15,-0.0092,0.0204,0.0203,0.3878
DMART,19-OCT-2021,4754.60,4897.60,-0.0296,0.0209,0.0210,0.4012
DABUR,19-OCT-2021,605.25,614.10,-0.0145,0.0133,0.0133,0.2541
MUTHOOTFIN,19-OCT-2021,1552.45,1559.15,-0.0043,0.0240,0.0239,0.4566
IGL,19-OCT-2021,505.65,509.05,-0.0067,0.0199,0.0199,0.3802
HDFCAMC,19-OCT-2021,2904.65,2932.40,-0.0095,0.0194,0.0193,0.3687
PETRONET,19-OCT-2021,230.75,234.35,-0.0155,0.0175,0.0175,0.3343
CADILAHC,19-OCT-2021,527.05,534.30,-0.0137,0.0193,0.0193,0.3687
MCDOWELL-N,19-OCT-2021,857.30,883.50,-0.0301,0.0193,0.0194,0.3706
ICICIGI,19-OCT-2021,1529.20,1519.45,0.0064,0.0203,0.0202,0.3859
PGHH,19-OCT-2021,14044.00,14058.25,-0.0010,0.0140,0.0140,0.2675
ABBOTINDIA,19-OCT-2021,20572.75,21431.60,-0.0409,0.0187,0.0189,0.3611
TORNTPHARM,19-OCT-2021,3072.85,3111.70,-0.0126,0.0176,0.0176,0.3362
BIOCON,19-OCT-2021,344.40,342.50,0.0055,0.0239,0.0238,0.4547
LTI,19-OCT-2021,6854.80,5905.85,0.1490,0.0228,0.0251,0.4795
UBL,19-OCT-2021,1672.25,1676.55,-0.0026,0.0193,0.0192,0.3668
VEDL,19-OCT-2021,371.05,374.75,-0.0099,0.0306,0.0305,0.5827
SIEMENS,19-OCT-2021,2312.05,2265.70,0.0203,0.0180,0.0180,0.3439
GAIL,19-OCT-2021,155.75,161.35,-0.0353,0.0225,0.0226,0.4318
BAJAJHLDNG,19-OCT-2021,4806.10,4773.25,0.0069,0.0203,0.0202,0.3859
NAUKRI,19-OCT-2021,6929.20,7019.40,-0.0129,0.0258,0.0258,0.4929
AUROPHARMA,19-OCT-2021,712.60,718.25,-0.0079,0.0244,0.0243,0.4643
NMDC,19-OCT-2021,152.35,157.55,-0.0336,0.0274,0.0274,0.5235
MARICO,19-OCT-2021,574.30,579.25,-0.0086,0.0148,0.0148,0.2828
BOSCHLTD,19-OCT-2021,17259.35,17659.60,-0.0229,0.0215,0.0215,0.4108
HAVELLS,19-OCT-2021,1423.85,1454.75,-0.0215,0.0212,0.0213,0.4069
